Distance_(microns)	Gray_Value
95.481	75.351
95.584	85.476
95.688	83.003
95.792	69.891
95.896	61.709
95.999	52.606
96.103	43.163
96.207	30.426
96.311	25.255
96.415	27.747
96.518	17.991
96.622	17.442
96.726	10.416
96.830	8.584
96.934	9.028
97.037	11.031
97.141	9.514
97.245	10.396
97.349	8.157
97.452	9.516
97.556	12.693
97.660	11.512
97.764	10.049
97.868	6.478
97.971	11.573
98.075	14.276
98.179	13.712
98.283	15.477
98.387	23.111
98.490	31.795
98.594	37.223
98.698	48.885
98.802	56.428
98.905	56.809
99.009	68.328
99.113	70.956
99.217	72.411
99.321	89.433
99.424	66.656
99.528	63.927
99.632	52.505
99.736	69.116
99.839	47.096
99.943	37.962
100.047	33.899
100.151	25.557
100.255	16.310
100.358	16.404
100.462	15.482
100.566	18.047
100.670	15.410
100.774	10.214
100.877	8.184
100.981	8.666
101.085	7.568
101.189	12.032
101.292	12.537
101.396	6.241
101.500	9.867
101.604	11.636
101.708	13.018
101.811	10.578
101.915	15.753
102.019	19.094
102.123	24.399
102.226	32.931
102.330	51.564
102.434	48.187
102.538	48.914
102.642	43.970
102.745	55.247
102.849	66.091
102.953	72.429
103.057	74.525
103.161	70.972
103.264	70.285
103.368	66.775
103.472	56.954
103.576	59.314
103.679	61.877
103.783	46.847
103.887	40.027
103.991	27.981
104.095	20.073
104.198	18.567
104.302	13.558
104.406	9.034
104.510	10.500
104.613	8.113
104.717	9.426
104.821	9.503
104.925	9.009
105.029	10.057
105.132	10.913
105.236	12.144
105.340	15.461
105.444	22.103
105.548	18.214
105.651	21.928
105.755	24.252
105.859	37.643
105.963	40.465
106.066	41.568
106.170	43.785
106.274	43.079
106.378	41.118
106.482	30.530
106.585	30.874
106.689	29.734
106.793	29.486
106.897	28.232
107.001	24.389
107.104	16.861
107.208	16.919
107.312	27.148
107.416	27.496
107.519	23.966
107.623	26.302
107.727	23.915
107.831	27.074
107.935	29.325
108.038	19.682
108.142	14.800
108.246	12.960
108.350	13.470
108.453	11.512
108.557	10.105
108.661	7.980
108.765	8.256
108.869	10.451
108.972	9.400
109.076	12.978
109.180	13.203
109.284	22.733
109.388	21.832
109.491	22.944
109.595	28.863
109.699	25.920
109.803	28.968
109.906	26.248
110.010	28.030
110.114	35.745
110.218	34.423
110.322	27.530
110.425	24.411
110.529	20.336
110.633	16.581
110.737	15.867
110.840	18.364
110.944	18.003
111.048	16.385
111.152	10.253
111.256	14.868
111.359	19.017
111.463	22.329
111.567	15.798
111.671	23.719
111.775	24.508
111.878	17.189
111.982	25.147
112.086	20.231
112.190	21.321
112.293	24.720
112.397	23.095
112.501	21.564
112.605	17.650
112.709	15.514
112.812	13.444
112.916	13.743
113.020	13.261
113.124	13.489
113.228	9.120
113.331	18.402
113.435	11.493
113.539	11.786
113.643	7.218
113.746	10.169
113.850	7.759
113.954	9.502
114.058	10.984
114.162	10.247
114.265	16.209
114.369	15.236
114.473	22.247
114.577	28.374
114.680	27.447
114.784	25.420
114.888	33.688
114.992	34.503
115.096	32.846
115.199	28.876
115.303	27.071
115.407	23.165
115.511	28.028
115.615	26.661
115.718	22.605
115.822	26.069
115.926	17.985
116.030	13.533
116.133	11.431
116.237	10.221
116.341	12.172
116.445	15.959
116.549	12.941
116.652	11.577
116.756	9.591
116.860	10.074
116.964	13.395
117.067	15.653
117.171	20.034
117.275	19.647
117.379	27.261
117.483	30.212
117.586	30.178
117.690	32.813
117.794	43.319
117.898	34.407
118.002	39.427
118.105	33.032
118.209	31.009
118.313	31.338
118.417	32.712
118.520	22.257
118.624	19.505
118.728	16.559
118.832	18.713
118.936	14.799
119.039	14.015
119.143	16.697
119.247	13.812
119.351	9.380
119.454	12.385
119.558	17.612
119.662	15.020
119.766	16.564
119.870	17.782
119.973	21.780
120.077	17.418
120.181	26.285
120.285	28.200
120.389	25.888
120.492	29.805
120.596	23.695
120.700	25.102
120.804	21.518
120.907	17.391
121.011	24.637
121.115	20.182
121.219	25.064
121.323	24.039
121.426	20.789
121.530	21.928
121.634	22.758
121.738	20.563
121.842	22.613
121.945	23.965
122.049	24.010
122.153	23.685
122.257	29.591
122.360	23.292
122.464	28.603
122.568	27.116
122.672	25.825
122.776	28.438
122.879	29.797
122.983	29.877
123.087	26.486
123.191	34.222
123.294	29.650
123.398	26.670
123.502	26.888
123.606	26.891
123.710	22.346
123.813	21.429
123.917	26.519
124.021	28.809
124.125	27.937
124.229	26.954
124.332	24.451
124.436	25.729
124.540	15.535
124.644	11.588
124.747	14.325
124.851	13.758
124.955	12.853
125.059	12.690
125.163	10.293
125.266	12.076
125.370	11.164
125.474	12.197
125.578	11.663
125.681	14.190
125.785	13.589
125.889	18.158
125.993	15.807
126.097	15.492
126.200	16.761
126.304	24.228
126.408	29.730
126.512	32.432
126.616	32.761
126.719	37.243
126.823	30.725
126.927	34.339
127.031	30.599
127.134	30.687
127.238	35.512
127.342	24.541
127.446	30.537
127.550	18.288
127.653	17.339
127.757	19.103
127.861	16.300
127.965	21.933
128.069	19.404
128.172	14.075
128.276	15.672
128.380	19.309
128.484	24.671
128.587	18.376
128.691	18.752
128.795	23.915
128.899	25.892
129.003	31.159
129.106	31.789
129.210	34.132
129.314	37.424
129.418	36.318
129.521	24.887
129.625	34.713
129.729	38.845
129.833	37.301
129.937	26.446
130.040	14.513
130.144	15.195
130.248	14.497
130.352	11.646
130.456	12.436
130.559	13.077
130.663	14.975
130.767	16.894
130.871	15.904
130.974	16.720
131.078	15.359
131.182	9.623
131.286	12.307
131.390	14.695
131.493	15.960
131.597	19.759
131.701	18.343
131.805	26.827
131.908	32.135
132.012	31.928
132.116	31.373
132.220	24.249
132.324	22.747
132.427	23.641
132.531	22.259
132.635	26.367
132.739	23.617
132.843	19.529
132.946	23.695
133.050	25.858
133.154	26.846
133.258	33.117
133.361	31.228
133.465	31.352
133.569	33.243
133.673	36.882
133.777	42.792
133.880	37.363
133.984	36.503
